id;code;name;province_code;canton_code;district_code
744;3;Casa Blanca;1;9;1
745;4;Lajas (parte);1;9;1
746;5;Obando;1;9;1
747;6;Paso Machete (parte);1;9;1
748;7;San Rafael.;1;9;1
749;8;Corrogres;1;9;1
750;9;Pilas.;1;9;1
751;1;Paso Machete (parte);1;9;2
752;2;Robalillo.;1;9;2
753;3;Alto Raicero;1;9;2
754;4;Chirracal;1;9;2
755;5;Matinilla;1;9;2
756;6;Pabellón;1;9;2
757;7;Perico.;1;9;2
758;1;Alto Palomas;1;9;3
759;2;Concepción;1;9;3
760;3;Cuevas;1;9;3
761;4;Chispa;1;9;3
762;5;Gavilanes;1;9;3
763;6;Honduras;1;9;3
764;7;Lajas (parte);1;9;3
765;8;Lindora;1;9;3
766;9;Manantial;1;9;3
767;10;Real de Pereira (parte);1;9;3
768;11;Valle del sol.;1;9;3
769;1;Chimba;1;9;4
770;2;Guapinol;1;9;4
771;3;Mata Grande;1;9;4
772;4;Mina;1;9;4
773;5;Paso Machete (parte);1;9;4
774;6;Río Uruca.;1;9;4
775;1;Caraña;1;9;5
776;2;Cebadilla;1;9;5
777;3;Finquitas;1;9;5
778;4;Montaña del Sol;1;9;5
779;5;Rincón San Marcos;1;9;5
780;6;Triunfo.;1;9;5
781;1;Canjel;1;9;6
782;2;Copey.;1;9;6
783;1;Bellavista;1;10;1
784;2;Chorotega;1;10;1
785;3;Lagunilla;1;10;1
786;4;Macha;1;10;1
787;5;Madrigal.;1;10;1
788;1;Aguilar Machado;1;10;2
789;2;Cochea;1;10;2
790;3;El Alto;1;10;2
791;4;Faro del Suroeste;1;10;2
792;5;Filtros;1;10;2
793;6;Pueblo Escondido;1;10;2
794;7;Vistas de Alajuelita.;1;10;2
795;1;Caracas;1;10;3
796;2;Cascabela;1;10;3
797;3;Llano;1;10;3
798;4;Piedra de fuego.;1;10;3
799;5;Lámparas.;1;10;3
800;1;Almendros;1;10;4
801;2;Boca del Monte;1;10;4
802;3;Chirivico;1;10;4
803;4;Monte Alto;1;10;4
804;5;Once de Abril;1;10;4
805;6;Progreso;1;10;4
806;7;Tejar (parte);1;10;4
807;8;Vista de San José;1;10;4
808;9;Vista Real.;1;10;4
809;1;Aurora;1;10;5
810;2;Corina Rodríguez;1;10;5
811;3;Esquipulas Dos;1;10;5
812;4;La Guápil;1;10;5
813;5;Peralta;1;10;5
814;6;Verbena.;1;10;5
815;7;Palo Campano.;1;10;5
816;1;Alamos;1;11;1
817;2;Alpes;1;11;1
818;3;Arias;1;11;1
819;4;Brisa;1;11;1
820;5;Cedros;1;11;1
